"year","station","length","age","strata2","month","day","avgdepth","region","cruise6","lat","lon","depth","stratum","regf","area"
1982,111,102,4,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,93,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,92,4,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,101,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,89,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,107,4,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,99,4,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,93,4,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,92,4,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,104,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,97,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,104,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,89,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,107,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,99,4,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,97,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,110,4,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,112,121,5,"85",8,2,13,"SVAtoSNE",198204,38.2667,74.8667,13,"2S","SVAtoSNE","SVAtoSNE"
1982,112,124,5,"85",8,2,13,"SVAtoSNE",198204,38.2667,74.8667,13,"2S","SVAtoSNE","SVAtoSNE"
1982,112,100,5,"85",8,2,13,"SVAtoSNE",198204,38.2667,74.8667,13,"2S","SVAtoSNE","SVAtoSNE"
1982,112,122,5,"85",8,2,13,"SVAtoSNE",198204,38.2667,74.8667,13,"2S","SVAtoSNE","SVAtoSNE"
1982,112,105,5,"85",8,2,13,"SVAtoSNE",198204,38.2667,74.8667,13,"2S","SVAtoSNE","SVAtoSNE"
1982,112,93,5,"85",8,2,13,"SVAtoSNE",198204,38.2667,74.8667,13,"2S","SVAtoSNE","SVAtoSNE"
1982,112,113,5,"85",8,2,13,"SVAtoSNE",198204,38.2667,74.8667,13,"2S","SVAtoSNE","SVAtoSNE"
1982,112,127,5,"85",8,2,13,"SVAtoSNE",198204,38.2667,74.8667,13,"2S","SVAtoSNE","SVAtoSNE"
1982,112,112,5,"85",8,2,13,"SVAtoSNE",198204,38.2667,74.8667,13,"2S","SVAtoSNE","SVAtoSNE"
1982,112,97,5,"85",8,2,13,"SVAtoSNE",198204,38.2667,74.8667,13,"2S","SVAtoSNE","SVAtoSNE"
1982,112,120,5,"85",8,2,13,"SVAtoSNE",198204,38.2667,74.8667,13,"2S","SVAtoSNE","SVAtoSNE"
1982,112,114,5,"85",8,2,13,"SVAtoSNE",198204,38.2667,74.8667,13,"2S","SVAtoSNE","SVAtoSNE"
1982,112,101,5,"85",8,2,13,"SVAtoSNE",198204,38.2667,74.8667,13,"2S","SVAtoSNE","SVAtoSNE"
1982,112,99,5,"85",8,2,13,"SVAtoSNE",198204,38.2667,74.8667,13,"2S","SVAtoSNE","SVAtoSNE"
