Date,Time (approx),Sample ID,Site,Shell treatment,Stratum,Collection type,Water/Sed  Temp,pH temp,Salinity,DO_mg_L,pH_total_scale,pH_NBS,DIC ,Field Alkalinity,MMA Alkalinity,Lab Alkalinity,Alkalinity,Data Flag,Flag comment,pH (DIC/Alk),pCO2 (DIC/Alk),Omega_Ar (DIC/Alk),pH (pH/Alk),pCO2 (pH/Alk),Omega_Ar (pH/Alk),pH (pH/DIC),pCO2 (pH/DIC),Omega_Ar (pH/DIC),pH_questionable_BW,pH_total_scale_final,pCO2_final,Omega_Ar_final,Calculation method,Note
11/6/2022,,271,Eel Pond,No shell,Bottom water,No Shell,17.3,18.3,32.29,8.53,7.921,,1886.40,2070.18,,,2070.18,,,7.978,446.3,2.13,7.937,498.6,1.96,7.937,494.1,1.94,,7.937,498.6,1.96,pH/ALK,
11/28/2022,,286,Eel Pond,No shell,Bottom water,No Shell,9.2,13.9,32.36,5.89,7.926,,1961.14,2065.78,,,2065.78,,,7.896,537.8,1.31,8.002,410.3,1.63,8.002,418.1,1.66,,8.002,410.3,1.63,pH/ALK,
12/5/2022,,318,Eel Pond,No shell,Bottom water,outside cage,8.1,7.6,31.28,10.04,8.022,,1991.08,2097.77,,,2097.77,,,7.930,501.5,1.34,8.014,404.5,1.59,8.014,410.4,1.61,,8.014,404.5,1.59,pH/ALK,
1/20/2023,,346,Eel Pond,No shell,Bottom water,No Shell,4.5,7.9,29.80,11.27,7.988,,1881.19,1998.4,,,1998.40,,,8.050,346.6,1.37,8.044,351.9,1.35,8.044,351.6,1.35,,8.044,351.9,1.35,pH/ALK,
2/24/2023,,393,Eel Pond,No shell,Bottom water,No Shell,5.0,12.2,30.20,10.82,7.942,,1960.51,1907.95,,,1907.95,Questionable,DIC higher than Alk - use pH and Alk in CO2Sys,7.402,1615.8,0.33,8.059,323.0,1.37,8.060,354.0,1.50,,8.059,323.0,1.37,pH/ALK,
3/23/2023,,426,Eel Pond,No shell,Bottom water,No Shell,7.6,18.0,29.51,10.55,7.891,,1942.97,2075.12,,,2075.12,,,8.038,379.7,1.57,8.058,360.7,1.63,8.058,362.0,1.64,,8.058,360.7,1.63,pH/ALK,
4/19/2023,,444,Eel Pond,No shell,Bottom water,No Shell,12.2,14.4,30.00,9.37,7.955,,2000.60,2204.25,,,2204.25,,,8.117,332.4,2.35,7.990,464.6,1.84,7.990,452.6,1.79,,7.990,464.6,1.84,pH/ALK,
5/8/2023,,468,Eel Pond,No shell,Bottom water,No Shell,15.2,24.7,30.59,8.06,7.781,,1951.74,2162.83,,,2162.83,,,8.082,357.6,2.44,7.927,539.6,1.80,7.927,522.2,1.74,,7.927,539.6,1.80,pH/ALK,
6/9/2023,,496,Eel Pond,No shell,Bottom water,No Shell,18.5,18.7,30.93,7.22,7.763,,1908.01,2103.83,,,2103.83,,,8.000,433.4,2.31,7.766,798.5,1.45,7.766,762.1,1.38,,7.766,798.5,1.45,pH/ALK,
5/21/2022,,,Provincetown,No shell,Bottom water,outside cage,19.0,22.4,31.82,9.59,7.701,,1942.40,,,2142.10,2142.10,,,7.983,457.9,2.35,7.751,840.3,1.48,7.751,802.1,1.42,7.751,,,,questionable,The pH value doesn't match the relationship between DO and pH. 
