Date,RCP8.5,SD8.5,RCP6,SD6,RCP4.5,SD4.5,RCP2.6,SD2.6
2023.20,0.224,0.344,0.198,0.141,0.179,0.442,0.467,0.422
2023.29,0.225,0.343,0.198,0.142,0.181,0.443,0.469,0.422
2023.37,0.225,0.342,0.198,0.142,0.183,0.444,0.471,0.422
2023.45,0.226,0.341,0.198,0.143,0.185,0.445,0.473,0.422
2023.54,0.226,0.340,0.199,0.143,0.187,0.446,0.476,0.422
2023.62,0.227,0.339,0.199,0.144,0.189,0.447,0.478,0.422
2023.71,0.227,0.338,0.199,0.144,0.191,0.447,0.480,0.422
2023.79,0.228,0.336,0.199,0.145,0.193,0.448,0.482,0.422
2023.87,0.228,0.335,0.199,0.145,0.195,0.449,0.484,0.422
2023.96,0.229,0.334,0.199,0.146,0.197,0.450,0.486,0.421
2024.04,0.229,0.333,0.200,0.147,0.199,0.450,0.488,0.421
2024.12,0.230,0.331,0.200,0.147,0.201,0.451,0.490,0.421
2024.20,0.231,0.330,0.200,0.148,0.203,0.451,0.492,0.421
2024.29,0.232,0.329,0.200,0.148,0.205,0.452,0.494,0.420
2024.37,0.233,0.327,0.200,0.149,0.207,0.453,0.496,0.420
2024.45,0.233,0.326,0.200,0.149,0.209,0.453,0.498,0.419
2024.54,0.234,0.324,0.200,0.150,0.211,0.453,0.500,0.419
2024.62,0.235,0.323,0.200,0.150,0.213,0.454,0.502,0.418
2024.71,0.236,0.321,0.200,0.151,0.215,0.454,0.504,0.418
2024.79,0.237,0.320,0.201,0.151,0.217,0.455,0.505,0.417
2024.87,0.238,0.319,0.201,0.152,0.219,0.455,0.507,0.417
2024.96,0.240,0.317,0.201,0.152,0.221,0.455,0.509,0.416
2025.04,0.241,0.315,0.201,0.153,0.223,0.456,0.511,0.415
2025.12,0.242,0.314,0.201,0.153,0.225,0.456,0.513,0.414
2025.20,0.243,0.312,0.201,0.154,0.227,0.456,0.514,0.414
2025.29,0.245,0.311,0.201,0.154,0.229,0.456,0.516,0.413
2025.37,0.246,0.309,0.201,0.155,0.231,0.457,0.518,0.412
2025.45,0.248,0.308,0.202,0.155,0.233,0.457,0.520,0.411
2025.54,0.249,0.306,0.202,0.155,0.235,0.457,0.522,0.411
2025.62,0.251,0.305,0.202,0.156,0.238,0.457,0.524,0.410
2025.71,0.252,0.303,0.202,0.156,0.240,0.457,0.525,0.409
2025.79,0.254,0.302,0.202,0.156,0.242,0.457,0.527,0.408
2025.87,0.256,0.300,0.202,0.156,0.244,0.457,0.529,0.407
2025.96,0.257,0.299,0.203,0.157,0.246,0.457,0.531,0.406
2026.04,0.259,0.297,0.203,0.157,0.248,0.457,0.532,0.405
2026.12,0.261,0.296,0.203,0.157,0.250,0.457,0.534,0.404
2026.20,0.263,0.294,0.203,0.157,0.253,0.457,0.536,0.403
2026.29,0.265,0.293,0.204,0.157,0.255,0.457,0.538,0.403
2026.37,0.267,0.292,0.204,0.157,0.257,0.456,0.539,0.402
2026.45,0.269,0.290,0.204,0.157,0.260,0.456,0.541,0.401
2026.54,0.271,0.289,0.205,0.157,0.262,0.456,0.543,0.400
2026.62,0.273,0.287,0.205,0.157,0.265,0.456,0.544,0.399
2026.71,0.275,0.286,0.206,0.157,0.267,0.456,0.546,0.398
2026.79,0.278,0.285,0.206,0.157,0.269,0.455,0.548,0.397
2026.87,0.280,0.284,0.206,0.157,0.272,0.455,0.549,0.397
2026.96,0.282,0.282,0.207,0.157,0.274,0.455,0.551,0.396
2027.04,0.285,0.281,0.207,0.156,0.277,0.454,0.553,0.395
2027.12,0.287,0.280,0.208,0.156,0.279,0.454,0.554,0.394
2027.20,0.290,0.279,0.208,0.156,0.282,0.454,0.556,0.394
2027.29,0.292,0.278,0.209,0.156,0.284,0.453,0.557,0.393
2027.37,0.295,0.277,0.210,0.156,0.287,0.453,0.559,0.392
2027.45,0.297,0.276,0.211,0.155,0.289,0.452,0.561,0.392
2027.54,0.300,0.275,0.211,0.155,0.292,0.452,0.562,0.391
2027.62,0.303,0.274,0.212,0.155,0.295,0.452,0.564,0.391
2027.71,0.306,0.274,0.213,0.154,0.297,0.451,0.565,0.390
2027.79,0.308,0.273,0.214,0.154,0.300,0.451,0.567,0.390
2027.87,0.311,0.272,0.215,0.153,0.302,0.450,0.568,0.390
2027.96,0.314,0.272,0.216,0.153,0.305,0.450,0.570,0.389
2028.04,0.317,0.271,0.216,0.152,0.308,0.449,0.571,0.389
2028.12,0.320,0.271,0.217,0.152,0.310,0.449,0.573,0.389
2028.20,0.323,0.270,0.218,0.151,0.313,0.449,0.574,0.388
2028.29,0.326,0.270,0.220,0.151,0.315,0.448,0.576,0.388
2028.37,0.329,0.270,0.221,0.150,0.318,0.448,0.577,0.388
2028.45,0.332,0.270,0.222,0.150,0.321,0.447,0.579,0.388
2028.54,0.335,0.269,0.223,0.149,0.323,0.447,0.580,0.388
2028.62,0.338,0.269,0.224,0.149,0.326,0.446,0.582,0.388
2028.71,0.342,0.270,0.225,0.148,0.328,0.445,0.583,0.387
2028.79,0.345,0.270,0.227,0.147,0.331,0.445,0.584,0.387
2028.87,0.348,0.270,0.228,0.147,0.334,0.444,0.586,0.387
2028.96,0.351,0.270,0.229,0.146,0.336,0.444,0.587,0.387
