Month,Site,Biodeposition chamber,Treatment,Mesocosm,Clam ID,Length,Height,Dry.weight,AFDW,Duration of collection period,TPM,PIM,POM,Perc_organic,ER,OER,IER,Pseudofaeces TPM,Species standardization coefficient,IER_scaled,OER_scaled,IRR,ORR,RR,p,f,SE,IFR,CR,FR,Perc RR,TIR,OFR,OIR,i,AR,AE,Notes
April,Eel Pond,19,S,G1,R,29.6,22.60,0.29,0.2472,2.417,0.989,0.618,0.371,37.51,2.794,1.048,1.746,,0.76,0.65,0.39,0.01,0.21,0.22,0.98,0.52,-0.86,0.66,0.60,1.38,15.79,1.16,0.72,0.51,0.44,0.12,0.23,
June,Provincetown,2,N,NA4,NL,46.47,38.50,1.4614,1.2657,2,2.863,1.026,1.837,64.16,1.4315,0.9185,0.513,0.888,0.76,0.38,0.69,0.19,0.14,0.33,0.42,0.75,0.43,0.58,0.58,2.33,14.29,2.00,1.75,1.61,0.81,0.92,0.57,
June,Provincetown,3,N,NJ1,Y,42.23,33.38,1.2084,0.9743,2,1.935,0.621,1.314,67.91,0.9675,0.657,0.3105,1.129,0.76,0.27,0.57,0.22,0.27,0.49,0.55,0.75,0.26,0.49,0.49,1.97,24.77,1.49,1.49,1.22,0.82,0.65,0.53,
June,Provincetown,4,N,NJ1,RL,42.50,34.75,1.1838,0.9407,2,2.849,0.818,2.031,71.29,1.4245,1.0155,0.409,,0.76,0.36,0.89,0.00,0.00,0.00,,0.75,,0.36,0.36,1.45,0.00,1.45,1.09,1.09,0.75,0.20,0.18,
June,Provincetown,5,N,NI2,Y,44.42,34.97,1.2552,1.0738,2,1.641,0.604,1.037,63.19,0.8205,0.5185,0.302,0.511,0.76,0.25,0.44,0.07,0.15,0.21,0.69,0.75,0.08,0.32,0.32,1.30,16.55,1.08,0.98,0.83,0.77,0.39,0.47,
June,Provincetown,6,N,NI2,RX,41.11,32.76,0.9442,0.7896,2,3.616,0.671,2.945,81.44,1.808,1.4725,0.3355,0.505,0.76,0.35,1.54,0.09,0.18,0.26,0.68,0.75,0.10,0.44,0.44,1.76,14.98,1.50,1.32,1.15,0.77,-0.39,-0.34,
June,Provincetown,7,S,SH3,RX,44.01,35.93,1.2615,1.0218,2,1.605,0.420,1.185,73.83,0.8025,0.5925,0.21,,0.76,0.18,0.50,0.00,0.00,0.00,,0.75,,0.18,0.18,0.71,0.00,0.71,0.54,0.54,0.75,0.04,0.07,
June,Provincetown,8,S,SH3,R,44.09,35.51,1.3712,1.1107,2,1.654,0.324,1.330,80.41,0.827,0.665,0.162,,0.76,0.13,0.52,0.00,0.00,0.00,,0.75,,0.13,0.13,0.52,0.00,0.52,0.39,0.39,0.75,-0.14,-0.35,
June,Provincetown,9,N,NG4,YX,43.18,34.36,1.2910,1.0457,2,1.646,0.591,1.055,64.09,0.823,0.5275,0.2955,,0.76,0.24,0.43,0.00,0.00,0.00,,0.75,,0.24,0.24,0.98,0.00,0.98,0.74,0.74,0.75,0.31,0.41,
June,Provincetown,10,N,NG4,BY,48.91,39.12,1.5860,1.2847,2,1.698,0.573,1.125,66.25,0.849,0.5625,0.2865,,0.76,0.20,0.40,0.00,0.00,0.00,,0.75,,0.20,0.20,0.82,0.00,0.82,0.61,0.61,0.75,0.22,0.35,
