Date,Sample ID,Site,Stratum,Water/Sed  Temp,Salinity,pH temp,pH,Field Alkalinity,Lab Alkalinity,Alk,DIC ,Notes,,pH (DIC/Alk),pCO2 (DIC/Alk),Omega_Ar (DIC/Alk),,pH (pH/Alk),pCO2 (pH/Alk),Omega_Ar (pH/Alk),,pH (pH/DIC),pCO2 (pH/DIC),Omega_Ar (pH/DIC),,pH,pCO2,Omega Ar
3/2/22,,Eel Pond,Bottom water,3.9,29.90,3.3,8.147,,2065.08,2065.08,1900.66,NBS scale,,8.184,252.2,1.81,,8.138,370.0,1.35,,8.138,360.1,1.31,,8.138,360.1,1.31
4/18/22,,Eel Pond,Bottom water,10.2,31.39,21.7,7.769,,2087.13,2087.13,1984.28,,,7.884,566.3,1.33,,7.946,483.7,1.50,,7.946,488.8,1.52,,7.946,488.8,1.52
5/19/22,,Eel Pond,Bottom water,16.4,30.20,22.2,,,2074.77,2074.77,1987.85,,,7.755,809.0,1.27,,,,,,,,,,7.755,809.0,1.27
6/17/22,,Eel Pond,Bottom water,21.3,31.40,21.5,7.763,,2015.37,2015.37,1977.99,,,7.511,1453.6,0.92,,7.766,765.4,1.56,,7.766,798.0,1.63,,7.766,798.0,1.63
6/30/22,,Eel Pond,Bottom water,23.0,32.06,13.8,7.996,,2048.83,2048.83,1928.42,,,7.735,839.9,1.61,,7.852,618.7,2.04,,7.852,633.7,2.08,,7.852,633.7,2.08
7/15/22,126,Eel Pond,Bottom water,25.5,31.42,28.2,7.848,,1895.46,1895.46,1825.44,,,7.568,1195.4,1.15,,7.889,517.9,2.19,,7.889,552.4,2.34,,7.889,552.4,2.34
8/15/22,831,Eel Pond,Bottom water,23.9,32.80,27.9,7.814,2038.30,,2038.30,1918.44,,,7.713,881.0,1.61,,7.875,575.7,2.21,,7.875,595.5,2.29,,7.875,575.7,2.21
10/24/22,215,Eel Pond,Bottom water,16.1,31.75,16.4,7.925,2032.84,,2032.84,1884.68,,,7.921,511.1,1.77,,7.930,499.5,1.80,,7.930,500.4,1.80,,7.930,499.5,1.80
11/6/22,268,Eel Pond,Bottom water,17.3,32.29,18.4,7.932,1974.02,,1974.02,1861.24,,,7.804,670.6,1.43,,7.949,459.2,1.91,,7.949,472.7,1.97,,7.949,459.2,1.91
12/5/22,318,Eel Pond,Bottom water,8.1,31.28,7.6,8.022,2097.77,,2097.77,1991.08,,,7.930,501.5,1.34,,8.014,404.5,1.59,,8.014,410.4,1.61,,8.014,404.5,1.59
1/20/23,343,Eel Pond,Bottom water,4.5,29.80,7.1,8.010,1946.97,,1946.97,1893.92,,,7.832,583.8,0.85,,8.053,334.9,1.34,,8.053,346.4,1.39,,8.053,334.9,1.34
2/24/23,390,Eel Pond,Bottom water,5,30.20,11.9,7.960,1970.17,,1970.17,1983.78,,,7.555,1160.5,0.48,,8.073,322.2,1.46,,8.073,346.7,1.57,,8.073,322.2,1.46
